5312 3904 	6266 2950 	7373 1843 	
1627 7589 	1616 7600 	4464 4752 	
1569 7647 	1203 8013 	910 8306 	
5148 4068 	5248 3968 	5943 3273 	
2145 7071 	2374 6842 	2889 6327 	
7135 2081 	5388 3828 	7541 1675 	
6146 3070 	5501 3715 	8443 773 	
6362 2854 	5068 4148 	4769 4447 	
1321 7895 	3309 5907 	8764 452 	
6604 2612 	6956 2260 	7086 2130 	
8228 988 	5391 3825 	3929 5287 	
2611 6605 	2399 6817 	5637 3579 	
2566 6650 	3782 5434 	7982 1234 	
5717 3499 	2127 7089 	7237 1979 	
1433 7783 	1369 7847 	2263 6953 	
8268 948 	8241 975 	8594 622 	
6387 2829 	6503 2713 	6762 2454 	
1180 8036 	1202 8014 	3522 5694 	
7503 1713 	5842 3374 	7737 1479 	
6902 2314 	6967 2249 	8395 821 	
5972 3244 	7149 2067 	6579 2637 	
5706 3510 	5085 4131 	8559 657 	
3067 6149 	3344 5872 	5007 4209 	
6171 3045 	7041 2175 	7330 1886 	
6919 2297 	7527 1689 	8561 655 	
1381 7835 	2180 7036 	3535 5681 	
8241 975 	8351 865 	8275 941 	
2052 7164 	4742 4474 	7400 1816 	
8757 459 	8799 417 	8810 406 	
1232 7984 	9020 196 	9019 197 	
7348 1868 	6638 2578 	8447 769 	
6378 2838 	5233 3983 	5764 3452 	
3228 5988 	7494 1722 	8460 756 	
7461 1755 	7812 1404 	9025 191 	
8624 592 	7532 1684 	8747 469 	
9070 146 	7150 2066 	1097 8119 	
960 8256 	732 8484 	7040 2176 	
4125 5091 	4742 4474 	5997 3219 	
7286 1930 	7005 2211 	7678 1538 	
8470 746 	8265 951 	8050 1166 	
2027 7189 	1713 7503 	3167 6049 	
1452 7764 	1831 7385 	6391 2825 	
6611 2605 	5508 3708 	6754 2462 	
7810 1406 	6395 2821 	8318 898 	
4736 4480 	4671 4545 	7887 1329 	
5116 4100 	3296 5920 	7991 1225 	
8196 1020 	8416 800 	8928 288 	
2374 6842 	2429 6787 	4081 5135 	
6397 2819 	5207 4009 	7142 2074 	
7043 2173 	6893 2323 	6849 2367 	
7026 2190 	4598 4618 	6007 3209 	
7019 2197 	5085 4131 	7948 1268 	
8472 744 	8138 1078 	8573 643 	
1580 7636 	2592 6624 	7543 1673 	
1986 7230 	1776 7440 	1797 7419 	
7907 1309 	8050 1166 	8420 796 	
5958 3258 	6581 2635 	7606 1610 	
7106 2110 	6132 3084 	6914 2302 	
1962 7254 	2051 7165 	9161 55 	
1624 7592 	1799 7417 	4479 4737 	
3933 5283 	3957 5259 	3648 5568 	
6869 2347 	5942 3274 	8623 593 	
4681 4535 	5266 3950 	8751 465 	
5721 3495 	4832 4384 	7392 1824 	
7280 1936 	6755 2461 	7592 1624 	
1394 7822 	1417 7799 	1591 7625 	
6990 2226 	7282 1934 	8285 931 	
1217 7999 	2545 6671 	7009 2207 	
6041 3175 	6437 2779 	8352 864 	
3214 6002 	3731 5485 	3599 5617 	
6851 2365 	6740 2476 	6569 2647 	
4925 4291 	4965 4251 	5081 4135 	
3548 5668 	3684 5532 	4444 4772 	
6406 2810 	6513 2703 	7798 1418 	
7687 1529 	7730 1486 	7684 1532 	
8020 1196 	8032 1184 	8064 1152 	
3977 5239 	4260 4956 	6318 2898 	
2136 7080 	2156 7060 	2141 7075 	
7012 2204 	6978 2238 	8023 1193 	
6321 2895 	1931 7285 	1341 7875 	
3396 5820 	3328 5888 	3882 5334 	
8885 331 	6877 2339 	9184 32 	
7881 1335 	7596 1620 	8233 983 	
7769 1447 	4939 4277 	8100 1116 	
7904 1312 	1443 7773 	1483 7733 	
4275 4941 	5591 3625 	7637 1579 	
3146 6070 	2784 6432 	4136 5080 	
3524 5692 	6225 2991 	8226 990 	
827 8389 	1095 8121 	7918 1298 	
4287 4929 	3203 6013 	8672 544 	
3695 5521 	3114 6102 	3305 5911 	
6144 3072 	6837 2379 	8451 765 	
4220 4996 	4312 4904 	5093 4123 	
4842 4374 	2060 7156 	8695 521 	
8288 928 	7951 1265 	8684 532 	
3439 5777 	2586 6630 	7009 2207 	
4850 4366 	6778 2438 	8990 226 	
4676 4540 	4417 4799 	8922 294 	
8211 1005 	8182 1034 	7614 1602 	
1243 7973 	1052 8164 	2925 6291 	
868 8348 	4651 4565 	9186 30 	
2945 6271 	3836 5380 	8126 1090 	
3852 5364 	4458 4758 	5333 3883 	
1788 7428 	2056 7160 	5412 3804 	
6244 2972 	6965 2251 	8368 848 	
4204 5012 	4120 5096 	5738 3478 	
6482 2734 	6361 2855 	6558 2658 	
2198 7018 	1496 7720 	860 8356 	
1609 7607 	1557 7659 	2001 7215 	
5582 3634 	5425 3791 	6484 2732 	
610 8606 	5031 4185 	8958 258 	
7117 2099 	7164 2052 	7263 1953 	
4009 5207 	3265 5951 	7401 1815 	
818 8398 	812 8404 	816 8400 	
4469 4747 	3685 5531 	6929 2287 	
8996 220 	8961 255 	8310 906 	
7434 1782 	4438 4778 	3010 6206 	
3265 5951 	3296 5920 	5731 3485 	
502 8714 	448 8768 	2153 7063 	
8377 839 	8410 806 	8966 250 	
7407 1809 	7473 1743 	7563 1653 	
3968 5248 	3638 5578 	6939 2277 	
4814 4402 	4897 4319 	6536 2680 	
5597 3619 	4444 4772 	4095 5121 	
5873 3343 	4535 4681 	5256 3960 	
8505 711 	8361 855 	2345 6871 	
5377 3839 	6035 3181 	6186 3030 	
5942 3274 	6065 3151 	6079 3137 	
5821 3395 	5544 3672 	6342 2874 	
7744 1472 	7744 1472 	7996 1220 	
5990 3226 	6054 3162 	7468 1748 	
8717 499 	8776 440 	8816 400 	
6939 2277 	6640 2576 	8122 1094 	
3247 5969 	1921 7295 	5373 3843 	
5902 3314 	6183 3033 	5745 3471 	
7990 1226 	7754 1462 	9109 107 	
4015 5201 	4565 4651 	7638 1578 	
6148 3068 	6371 2845 	7631 1585 	
4546 4670 	4450 4766 	6546 2670 	
6903 2313 	6964 2252 	8079 1137 	
2669 6547 	4090 5126 	7275 1941 	
7473 1743 	4854 4362 	7840 1376 	
6214 3002 	3298 5918 	8030 1186 	
8074 1142 	8093 1123 	8087 1129 	
3003 6213 	3015 6201 	5754 3462 	
7184 2032 	6838 2378 	5092 4124 	
5368 3848 	6121 3095 	6992 2224 	
6203 3013 	4302 4914 	7633 1583 	
6284 2932 	6358 2858 	6754 2462 	
8377 839 	8339 877 	8606 610 	
5448 3768 	5420 3796 	5525 3691 	
7217 1999 	7178 2038 	7388 1828 	
6156 3060 	6753 2463 	8324 892 	
7405 1811 	7294 1922 	7257 1959 	
4676 4540 	4361 4855 	5548 3668 	
4246 4970 	3080 6136 	5536 3680 	
7020 2196 	5816 3400 	7568 1648 	
1649 7567 	1480 7736 	1520 7696 	
2730 6486 	1769 7447 	7931 1285 	
4431 4785 	4637 4579 	6717 2499 	
4705 4511 	4029 5187 	6449 2767 	
8790 426 	709 8507 	653 8563 	
8869 347 	8921 295 	8981 235 	
8529 687 	8771 445 	8810 406 	
5842 3374 	3054 6162 	6899 2317 	
5622 3594 	1815 7401 	8719 497 	
2523 6693 	2593 6623 	2914 6302 	
5992 3224 	6412 2804 	7115 2101 	
4362 4854 	1378 7838 	719 8497 	
7217 1999 	6960 2256 	8187 1029 	
4668 4548 	3915 5301 	5619 3597 	
1769 7447 	1729 7487 	1875 7341 	
1690 7526 	1966 7250 	2101 7115 	
789 8427 	1229 7987 	3008 6208 	
2294 6922 	3078 6138 	6616 2600 	
8040 1176 	7946 1270 	8308 908 	
1213 8003 	2450 6766 	5659 3557 	
5015 4201 	4040 5176 	5696 3520 	
5928 3288 	6860 2356 	7035 2181 	
